feedback_text,service_category,sentiment
"After recent update, I am highly impressed because email support response was delayed. customer support should improve further.",Customer Support,Positive
"During office hours, I am somewhat satisfied because router overheating issue continues. overall service quality looks better now.",Broadband Service,Positive
"After recent update, I am extremely happy because customer care is not responding properly. expecting faster resolution from technical team.",Customer Support,Positive
"Seriously, I feel disappointed because fiber internet disconnects every evening. expecting faster resolution from technical team.",Broadband Service,Negative
"Today, I am satisfied overall because internet stopped working suddenly. this issue still continues every day.",Broadband Service,Positive
"Recently, I am very frustrated because online meetings keep buffering. the issue affects my daily work badly.",Broadband Service,Negative
"This week, I feel disappointed because annual discount applied correctly. this issue still continues every day.",Billing & Payments,Negative
"This week, I feel disappointed because email support response was delayed. overall service quality looks better now.",Customer Support,Negative
"Unfortunately, I appreciate the quick resolution because router overheating issue continues. customer support should improve further.",Broadband Service,Positive
"Every evening, I am extremely happy because application loads much faster now. the service experience feels smooth now.",Mobile App Issues,Positive
"Every evening, I am satisfied overall because wifi coverage improved after technician visit. thank you for solving the issue.",Broadband Service,Positive
"Since yesterday, I am satisfied overall because 5G signal disappears suddenly. expecting faster resolution from technical team.",Mobile Network,Positive
The 5G Service is very slow.,Service Activation,Negative
"After recent update, I am satisfied overall because technical support explained issue clearly. the service experience feels smooth now.",Customer Support,Positive
"After recent update, I am satisfied overall because roaming service activated instantly. thank you for solving the issue.",Mobile Network,Positive
"Seriously, I expected better performance because priority support handled issue efficiently. the service experience feels smooth now.",Customer Support,Neutral
"This week, I am satisfied overall because plan upgrade reflected successfully. please resolve this quickly.",Service Activation,Positive
"Since yesterday, I am satisfied overall because network quality improved after update. thank you for solving the issue.",Mobile Network,Positive
"Honestly, I feel disappointed because plan upgrade reflected successfully. expecting faster resolution from technical team.",Service Activation,Negative
"Honestly, I am somewhat satisfied because usage statistics are inaccurate. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Unfortunately, I appreciate the quick resolution because internet speed improved significantly. please resolve this quickly.",Mobile Network,Positive
"Honestly, I feel totally upset because network quality improved after update. the issue affects my daily work badly.",Mobile Network,Negative
"Every evening, I am highly impressed because monthly invoice amount looks incorrect. overall service quality looks better now.",Billing & Payments,Positive
"Unfortunately, I am highly impressed because network quality improved after update. the issue affects my daily work badly.",Mobile Network,Positive
"This week, I feel totally upset because support agent behaved professionally. customer support should improve further.",Customer Support,Negative
"This week, I feel disappointed because internet stopped working suddenly. hoping this gets fixed permanently.",Broadband Service,Negative
"During office hours, I feel disappointed because mobile data not working properly. expecting faster resolution from technical team.",Mobile Network,Negative
"After recent update, I appreciate the quick resolution because new connection activated earlier than expected. the service experience feels smooth now.",Service Activation,Positive
"Recently, I feel disappointed because activation request still under processing. please resolve this quickly.",Service Activation,Negative
"Recently, I appreciate the quick resolution because installation process completed quickly. this issue still continues every day.",Broadband Service,Positive
"After recent update, I feel totally upset because auto payment feature works smoothly. this problem needs immediate attention.",Billing & Payments,Negative
"Seriously, I feel totally upset because fiber internet disconnects every evening. overall service quality looks better now.",Broadband Service,Negative
"Seriously, I am very frustrated because payment reflected successfully after few minutes. overall service quality looks better now.",Billing & Payments,Negative
"This week, I appreciate the quick resolution because plan upgrade reflected successfully. hoping this gets fixed permanently.",Service Activation,Positive
"Honestly, I am satisfied overall because data connection stops randomly. hoping this gets fixed permanently.",Mobile Network,Positive
"Honestly, I am unhappy with the service because payment transaction failed inside app. overall service quality looks better now.",Mobile App Issues,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
"Every evening, I am highly impressed because network quality improved after update. this problem needs immediate attention.",Mobile Network,Positive
The Fiber Broadband quality is excellent.,Broadband Service,Positive
"Recently, I am somewhat satisfied because auto payment feature works smoothly. expecting faster resolution from technical team.",Billing & Payments,Positive
"Since yesterday, I am highly impressed because monthly invoice amount looks incorrect. thank you for solving the issue.",Billing & Payments,Positive
"Seriously, I am somewhat satisfied because new connection activated earlier than expected. overall service quality looks better now.",Service Activation,Positive
"Honestly, I am unhappy with the service because priority support handled issue efficiently. the service experience feels smooth now.",Customer Support,Positive
"Recently, I am extremely happy because monthly invoice amount looks incorrect. the service experience feels smooth now.",Billing & Payments,Positive
"This week, I feel totally upset because unable to login into the app. please resolve this quickly.",Mobile App Issues,Negative
"Since yesterday, I am somewhat satisfied because invoice details are confusing. overall service quality looks better now.",Billing & Payments,Positive
"During office hours, I am very frustrated because installation process completed quickly. the service experience feels smooth now.",Broadband Service,Negative
"Unfortunately, I feel totally upset because invoice details are confusing. expecting faster resolution from technical team.",Billing & Payments,Negative
"This week, I am extremely happy because support waiting time is too long. customer support should improve further.",Customer Support,Positive
"Every evening, I appreciate the quick resolution because email support response was delayed. expecting faster resolution from technical team.",Customer Support,Positive
Bad experience with the Billing.,Billing & Payments,Negative
"Since yesterday, I am unhappy with the service because wifi signal does not reach upstairs. customer support should improve further.",Broadband Service,Positive
"Unfortunately, I am satisfied overall because support agent behaved professionally. please resolve this quickly.",Customer Support,Positive
"Honestly, I expected better performance because support agent behaved professionally. thank you for solving the issue.",Customer Support,Neutral
"This week, I expected better performance because internet speed improved significantly. this issue still continues every day.",Mobile Network,Neutral
"Recently, I am extremely happy because unable to login into the app. expecting faster resolution from technical team.",Mobile App Issues,Positive
"During office hours, I am highly impressed because unable to login into the app. expecting faster resolution from technical team.",Mobile App Issues,Positive
"During office hours, I am highly impressed because wifi coverage improved after technician visit. expecting faster resolution from technical team.",Broadband Service,Positive
"Unfortunately, I am satisfied overall because eSIM activation failed repeatedly. hoping this gets fixed permanently.",Service Activation,Positive
"This week, I feel disappointed because installation process completed quickly. expecting faster resolution from technical team.",Broadband Service,Negative
"Unfortunately, I am unhappy with the service because email support response was delayed. this issue still continues every day.",Customer Support,Positive
"This week, I feel totally upset because bill payment failed multiple times. this problem needs immediate attention.",Billing & Payments,Negative
"Since yesterday, I appreciate the quick resolution because mobile application crashes during payment. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Every evening, I am somewhat satisfied because payment gateway failed during recharge. the service experience feels smooth now.",Billing & Payments,Positive
"Since yesterday, I am very frustrated because payment gateway failed during recharge. overall service quality looks better now.",Billing & Payments,Negative
"Unfortunately, I appreciate the quick resolution because payment reflected successfully after few minutes. expecting faster resolution from technical team.",Billing & Payments,Positive
"Today, I am satisfied overall because data connection stops randomly. overall service quality looks better now.",Mobile Network,Positive
"Seriously, I am extremely happy because payment transaction failed inside app. the issue affects my daily work badly.",Mobile App Issues,Positive
"Unfortunately, I am very frustrated because data pack activated instantly. hoping this gets fixed permanently.",Service Activation,Negative
"Seriously, I appreciate the quick resolution because network quality improved after update. this problem needs immediate attention.",Mobile Network,Positive
"During office hours, I feel disappointed because unable to login into the app. thank you for solving the issue.",Mobile App Issues,Negative
"Every evening, I am unhappy with the service because internet stopped working suddenly. overall service quality looks better now.",Broadband Service,Positive
"Every evening, I am unhappy with the service because SIM replacement completed successfully. expecting faster resolution from technical team.",Service Activation,Positive
"Since yesterday, I am very frustrated because payment gateway failed during recharge. this issue still continues every day.",Billing & Payments,Negative
"Since yesterday, I appreciate the quick resolution because fiber internet disconnects every evening. overall service quality looks better now.",Broadband Service,Positive
"This week, I am unhappy with the service because application loads much faster now. hoping this gets fixed permanently.",Mobile App Issues,Positive
"After recent update, I am unhappy with the service because payment reflected successfully after few minutes. hoping this gets fixed permanently.",Billing & Payments,Positive
"Recently, I am highly impressed because network quality improved after update. expecting faster resolution from technical team.",Mobile Network,Positive
"During office hours, I am highly impressed because signal strength fluctuates frequently. customer support should improve further.",Mobile Network,Positive
"Honestly, I am unhappy with the service because mobile internet becomes extremely slow. this problem needs immediate attention.",Mobile Network,Positive
"Recently, I am unhappy with the service because internet stopped working suddenly. thank you for solving the issue.",Broadband Service,Positive
"Honestly, I am very frustrated because notifications are delayed. the service experience feels smooth now.",Mobile App Issues,Negative
"Today, I feel disappointed because mobile internet becomes extremely slow. overall service quality looks better now.",Mobile Network,Negative
"This week, I feel totally upset because online meetings keep buffering. the service experience feels smooth now.",Broadband Service,Negative
"Honestly, I am extremely happy because dark mode feature looks excellent. thank you for solving the issue.",Mobile App Issues,Positive
"After recent update, I am very frustrated because streaming quality became much better. hoping this gets fixed permanently.",Broadband Service,Negative
"This week, I feel totally upset because eSIM activation failed repeatedly. customer support should improve further.",Service Activation,Negative
"During office hours, I feel totally upset because extra roaming charges added unexpectedly. thank you for solving the issue.",Billing & Payments,Negative
"Honestly, I feel totally upset because SIM replacement completed successfully. hoping this gets fixed permanently.",Service Activation,Negative
"Today, I am extremely happy because annual discount applied correctly. the issue affects my daily work badly.",Billing & Payments,Positive
"This week, I expected better performance because support team solved the problem successfully. the service experience feels smooth now.",Customer Support,Neutral
"After recent update, I am satisfied overall because signal strength fluctuates frequently. the service experience feels smooth now.",Mobile Network,Positive
"Since yesterday, I feel totally upset because SIM activation delayed for several hours. the issue affects my daily work badly.",Service Activation,Negative
"Unfortunately, I am extremely happy because extra roaming charges added unexpectedly. thank you for solving the issue.",Billing & Payments,Positive
"Today, I am extremely happy because payment reflected successfully after few minutes. customer support should improve further.",Billing & Payments,Positive
"During office hours, I feel totally upset because online meetings keep buffering. this issue still continues every day.",Broadband Service,Negative
"Every evening, I am unhappy with the service because app performance improved after update. thank you for solving the issue.",Mobile App Issues,Positive
"Today, I am unhappy with the service because notifications are delayed. the issue affects my daily work badly.",Mobile App Issues,Positive
"Honestly, I am very frustrated because payment gateway failed during recharge. this problem needs immediate attention.",Billing & Payments,Negative
"Seriously, I am very frustrated because roaming service activated instantly. hoping this gets fixed permanently.",Mobile Network,Negative
"Every evening, I am very frustrated because dark mode feature looks excellent. this issue still continues every day.",Mobile App Issues,Negative
"This week, I am unhappy with the service because network coverage is weak indoors. overall service quality looks better now.",Mobile Network,Positive
"Since yesterday, I am extremely happy because technical support explained issue clearly. the service experience feels smooth now.",Customer Support,Positive
Facing frequent issues with the Customer Support.,Customer Support,Negative
"Seriously, I am satisfied overall because network quality improved after update. expecting faster resolution from technical team.",Mobile Network,Positive
"During office hours, I expected better performance because monthly invoice amount looks incorrect. customer support should improve further.",Billing & Payments,Neutral
"Recently, I appreciate the quick resolution because 5G signal disappears suddenly. this problem needs immediate attention.",Mobile Network,Positive
"During office hours, I am highly impressed because fingerprint login works perfectly. the service experience feels smooth now.",Mobile App Issues,Positive
"Seriously, I feel totally upset because voice calls are dropping continuously. hoping this gets fixed permanently.",Mobile Network,Negative
"Every evening, I am somewhat satisfied because fingerprint login works perfectly. overall service quality looks better now.",Mobile App Issues,Positive
The Fiber Broadband performance is normal.,Broadband Service,Neutral
"Honestly, I am extremely happy because monthly invoice amount looks incorrect. customer support should improve further.",Billing & Payments,Positive
"Today, I expected better performance because issue remained unresolved after many complaints. this issue still continues every day.",Customer Support,Neutral
"Unfortunately, I expected better performance because support waiting time is too long. thank you for solving the issue.",Customer Support,Neutral
"Every evening, I appreciate the quick resolution because fiber internet disconnects every evening. overall service quality looks better now.",Broadband Service,Positive
"Today, I expected better performance because technical support explained issue clearly. customer support should improve further.",Customer Support,Neutral
"This week, I am unhappy with the service because SIM activation delayed for several hours. customer support should improve further.",Service Activation,Positive
"During office hours, I am somewhat satisfied because voice calls are dropping continuously. thank you for solving the issue.",Mobile Network,Positive
"Seriously, I am satisfied overall because broadband speed improved recently. please resolve this quickly.",Broadband Service,Positive
I am very happy with the 5G Service.,Service Activation,Positive
"Seriously, I feel totally upset because signal strength fluctuates frequently. the service experience feels smooth now.",Mobile Network,Negative
"Today, I am somewhat satisfied because invoice details are confusing. the service experience feels smooth now.",Billing & Payments,Positive
"After recent update, I am unhappy with the service because internet speed improved significantly. please resolve this quickly.",Mobile Network,Positive
"After recent update, I feel totally upset because plan upgrade reflected successfully. customer support should improve further.",Service Activation,Negative
"Recently, I am unhappy with the service because notifications are delayed. this issue still continues every day.",Mobile App Issues,Positive
"Recently, I appreciate the quick resolution because new connection activated earlier than expected. please resolve this quickly.",Service Activation,Positive
"Since yesterday, I expected better performance because annual discount applied correctly. please resolve this quickly.",Billing & Payments,Neutral
"Seriously, I am somewhat satisfied because support team solved the problem successfully. thank you for solving the issue.",Customer Support,Positive
"Unfortunately, I feel totally upset because monthly invoice amount looks incorrect. the service experience feels smooth now.",Billing & Payments,Negative
"Seriously, I feel disappointed because fingerprint login works perfectly. please resolve this quickly.",Mobile App Issues,Negative
"During office hours, I expected better performance because router overheating issue continues. please resolve this quickly.",Broadband Service,Neutral
"During office hours, I expected better performance because streaming quality became much better. customer support should improve further.",Broadband Service,Neutral
"Honestly, I am very frustrated because mobile data not working properly. the issue affects my daily work badly.",Mobile Network,Negative
"Since yesterday, I feel disappointed because voice calls are dropping continuously. the service experience feels smooth now.",Mobile Network,Negative
"Seriously, I am somewhat satisfied because technical support explained issue clearly. customer support should improve further.",Customer Support,Positive
"Every evening, I am extremely happy because payment reflected successfully after few minutes. hoping this gets fixed permanently.",Billing & Payments,Positive
"Every evening, I feel totally upset because network quality improved after update. the issue affects my daily work badly.",Mobile Network,Negative
"Honestly, I feel disappointed because wifi signal does not reach upstairs. thank you for solving the issue.",Broadband Service,Negative
"Every evening, I am very frustrated because signal strength fluctuates frequently. this issue still continues every day.",Mobile Network,Negative
"During office hours, I appreciate the quick resolution because data pack activated instantly. the service experience feels smooth now.",Service Activation,Positive
"Unfortunately, I am highly impressed because priority support handled issue efficiently. please resolve this quickly.",Customer Support,Positive
"Seriously, I appreciate the quick resolution because installation process completed quickly. the service experience feels smooth now.",Broadband Service,Positive
"This week, I am very frustrated because 5G signal disappears suddenly. hoping this gets fixed permanently.",Mobile Network,Negative
"After recent update, I am extremely happy because data connection stops randomly. the service experience feels smooth now.",Mobile Network,Positive
"Every evening, I feel totally upset because dark mode feature looks excellent. overall service quality looks better now.",Mobile App Issues,Negative
"Since yesterday, I am somewhat satisfied because online meetings keep buffering. overall service quality looks better now.",Broadband Service,Positive
"Since yesterday, I am extremely happy because fingerprint login works perfectly. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Honestly, I expected better performance because priority support handled issue efficiently. customer support should improve further.",Customer Support,Neutral
"Since yesterday, I am very frustrated because payment transaction failed inside app. this issue still continues every day.",Mobile App Issues,Negative
"Honestly, I am highly impressed because email support response was delayed. please resolve this quickly.",Customer Support,Positive
The 5G Service has improved a lot.,Service Activation,Positive
"Recently, I expected better performance because plan upgrade reflected successfully. hoping this gets fixed permanently.",Service Activation,Neutral
"Since yesterday, I am somewhat satisfied because identity verification process is slow. thank you for solving the issue.",Service Activation,Positive
"Honestly, I am highly impressed because network quality improved after update. this issue still continues every day.",Mobile Network,Positive
"Since yesterday, I am somewhat satisfied because auto payment feature works smoothly. this issue still continues every day.",Billing & Payments,Positive
"During office hours, I am satisfied overall because email support response was delayed. thank you for solving the issue.",Customer Support,Positive
"Today, I am somewhat satisfied because internet speed improved significantly. the service experience feels smooth now.",Mobile Network,Positive
"Recently, I am satisfied overall because roaming service activated instantly. please resolve this quickly.",Mobile Network,Positive
"Honestly, I feel disappointed because chat support disconnected suddenly. the issue affects my daily work badly.",Customer Support,Negative
"Honestly, I am satisfied overall because payment transaction failed inside app. thank you for solving the issue.",Mobile App Issues,Positive
"Honestly, I am extremely happy because broadband speed improved recently. please resolve this quickly.",Broadband Service,Positive
"Since yesterday, I appreciate the quick resolution because invoice details are confusing. the issue affects my daily work badly.",Billing & Payments,Positive
"Unfortunately, I appreciate the quick resolution because internet stopped working suddenly. customer support should improve further.",Broadband Service,Positive
"Seriously, I feel totally upset because support waiting time is too long. this problem needs immediate attention.",Customer Support,Negative
"Every evening, I expected better performance because internet stopped working suddenly. this problem needs immediate attention.",Broadband Service,Neutral
"Recently, I appreciate the quick resolution because payment reflected successfully after few minutes. this issue still continues every day.",Billing & Payments,Positive
"Since yesterday, I expected better performance because billing system generated duplicate charges. this issue still continues every day.",Billing & Payments,Neutral
"Every evening, I expected better performance because identity verification process is slow. customer support should improve further.",Service Activation,Neutral
"During office hours, I appreciate the quick resolution because new connection activated earlier than expected. hoping this gets fixed permanently.",Service Activation,Positive
"Every evening, I am highly impressed because extra roaming charges added unexpectedly. expecting faster resolution from technical team.",Billing & Payments,Positive
"Recently, I am very frustrated because customer care is not responding properly. please resolve this quickly.",Customer Support,Negative
"Today, I feel disappointed because refund still not processed. expecting faster resolution from technical team.",Billing & Payments,Negative
"Since yesterday, I appreciate the quick resolution because SIM replacement completed successfully. the service experience feels smooth now.",Service Activation,Positive
"Unfortunately, I am highly impressed because roaming service activated instantly. please resolve this quickly.",Mobile Network,Positive
"This week, I feel totally upset because support team solved the problem successfully. expecting faster resolution from technical team.",Customer Support,Negative
"Unfortunately, I am somewhat satisfied because SIM replacement completed successfully. customer support should improve further.",Service Activation,Positive
"Every evening, I feel totally upset because auto payment feature works smoothly. expecting faster resolution from technical team.",Billing & Payments,Negative
The Customer Support is unreliable.,Customer Support,Negative
"Since yesterday, I am somewhat satisfied because application freezes frequently. the issue affects my daily work badly.",Mobile App Issues,Positive
"Honestly, I feel disappointed because voice calls are dropping continuously. this issue still continues every day.",Mobile Network,Negative
"Today, I feel totally upset because issue remained unresolved after many complaints. customer support should improve further.",Customer Support,Negative
"Today, I feel totally upset because broadband speed improved recently. thank you for solving the issue.",Broadband Service,Negative
"Recently, I appreciate the quick resolution because refund still not processed. this issue still continues every day.",Billing & Payments,Positive
"Honestly, I expected better performance because dark mode feature looks excellent. customer support should improve further.",Mobile App Issues,Neutral
"Today, I am unhappy with the service because eSIM activation failed repeatedly. the service experience feels smooth now.",Service Activation,Positive
"Seriously, I am somewhat satisfied because application loads much faster now. overall service quality looks better now.",Mobile App Issues,Positive
"This week, I feel disappointed because activation request still under processing. thank you for solving the issue.",Service Activation,Negative
"Today, I appreciate the quick resolution because payment transaction failed inside app. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Unfortunately, I appreciate the quick resolution because mobile application crashes during payment. hoping this gets fixed permanently.",Mobile App Issues,Positive
"Seriously, I appreciate the quick resolution because data connection stops randomly. overall service quality looks better now.",Mobile Network,Positive
"This week, I feel totally upset because invoice details are confusing. customer support should improve further.",Billing & Payments,Negative
"Today, I am extremely happy because invoice details are confusing. customer support should improve further.",Billing & Payments,Positive
"Unfortunately, I appreciate the quick resolution because usage statistics are inaccurate. this problem needs immediate attention.",Mobile App Issues,Positive
"Honestly, I am unhappy with the service because identity verification process is slow. the issue affects my daily work badly.",Service Activation,Positive
"Unfortunately, I am satisfied overall because fiber internet disconnects every evening. thank you for solving the issue.",Broadband Service,Positive
"Unfortunately, I expected better performance because support executive resolved issue quickly. this issue still continues every day.",Customer Support,Neutral
"Honestly, I am satisfied overall because internet speed improved significantly. this problem needs immediate attention.",Mobile Network,Positive
"Every evening, I am extremely happy because payment transaction failed inside app. hoping this gets fixed permanently.",Mobile App Issues,Positive
"Today, I am satisfied overall because notifications are delayed. the issue affects my daily work badly.",Mobile App Issues,Positive
"Today, I am unhappy with the service because internet speed improved significantly. customer support should improve further.",Mobile Network,Positive
"Recently, I am very frustrated because broadband speed improved recently. the service experience feels smooth now.",Broadband Service,Negative
"Since yesterday, I appreciate the quick resolution because internet speed improved significantly. thank you for solving the issue.",Mobile Network,Positive
"Unfortunately, I am extremely happy because fingerprint login works perfectly. overall service quality looks better now.",Mobile App Issues,Positive
"Every evening, I am highly impressed because payment gateway failed during recharge. overall service quality looks better now.",Billing & Payments,Positive
"Unfortunately, I appreciate the quick resolution because installation process completed quickly. this issue still continues every day.",Broadband Service,Positive
"This week, I am unhappy with the service because fingerprint login works perfectly. overall service quality looks better now.",Mobile App Issues,Positive
"Unfortunately, I am extremely happy because router restarts automatically. please resolve this quickly.",Broadband Service,Positive
"Recently, I expected better performance because new connection activated earlier than expected. this issue still continues every day.",Service Activation,Neutral
"Honestly, I am somewhat satisfied because application freezes frequently. the service experience feels smooth now.",Mobile App Issues,Positive
"After recent update, I expected better performance because broadband installation still pending. the service experience feels smooth now.",Service Activation,Neutral
"Recently, I am highly impressed because eSIM activation failed repeatedly. customer support should improve further.",Service Activation,Positive
"Today, I am very frustrated because monthly invoice amount looks incorrect. this issue still continues every day.",Billing & Payments,Negative
"Today, I feel totally upset because signal strength fluctuates frequently. overall service quality looks better now.",Mobile Network,Negative
"This week, I am satisfied overall because internet stopped working suddenly. the issue affects my daily work badly.",Broadband Service,Positive
"Unfortunately, I am very frustrated because SIM replacement completed successfully. the issue affects my daily work badly.",Service Activation,Negative
"Unfortunately, I am somewhat satisfied because data connection stops randomly. this issue still continues every day.",Mobile Network,Positive
"Unfortunately, I am satisfied overall because payment transaction failed inside app. this issue still continues every day.",Mobile App Issues,Positive
"Honestly, I am very frustrated because usage statistics are inaccurate. overall service quality looks better now.",Mobile App Issues,Negative
"After recent update, I am very frustrated because broadband installation still pending. hoping this gets fixed permanently.",Service Activation,Negative
"Since yesterday, I am unhappy with the service because chat support disconnected suddenly. thank you for solving the issue.",Customer Support,Positive
"Unfortunately, I feel totally upset because online meetings keep buffering. the service experience feels smooth now.",Broadband Service,Negative
"During office hours, I am highly impressed because broadband speed improved recently. this issue still continues every day.",Broadband Service,Positive
"Honestly, I appreciate the quick resolution because streaming quality became much better. expecting faster resolution from technical team.",Broadband Service,Positive
"After recent update, I feel totally upset because roaming activation took too much time. customer support should improve further.",Service Activation,Negative
"After recent update, I appreciate the quick resolution because notifications are delayed. customer support should improve further.",Mobile App Issues,Positive
"Today, I expected better performance because new connection activated earlier than expected. the service experience feels smooth now.",Service Activation,Neutral
"During office hours, I feel disappointed because support team solved the problem successfully. the issue affects my daily work badly.",Customer Support,Negative
"This week, I expected better performance because payment gateway failed during recharge. the service experience feels smooth now.",Billing & Payments,Neutral
"Unfortunately, I am unhappy with the service because internet stopped working suddenly. this problem needs immediate attention.",Broadband Service,Positive
"Every evening, I am very frustrated because fiber internet disconnects every evening. the service experience feels smooth now.",Broadband Service,Negative
"During office hours, I appreciate the quick resolution because support team solved the problem successfully. thank you for solving the issue.",Customer Support,Positive
"After recent update, I feel disappointed because router restarts automatically. customer support should improve further.",Broadband Service,Negative
"Recently, I expected better performance because roaming service activated instantly. expecting faster resolution from technical team.",Mobile Network,Neutral
"After recent update, I am highly impressed because data connection stops randomly. this issue still continues every day.",Mobile Network,Positive
"Honestly, I feel totally upset because roaming activation took too much time. this issue still continues every day.",Service Activation,Negative
"This week, I am somewhat satisfied because eSIM activation failed repeatedly. expecting faster resolution from technical team.",Service Activation,Positive
"Unfortunately, I appreciate the quick resolution because activation request still under processing. thank you for solving the issue.",Service Activation,Positive
"Today, I feel totally upset because priority support handled issue efficiently. the issue affects my daily work badly.",Customer Support,Negative
"After recent update, I am unhappy with the service because data connection stops randomly. thank you for solving the issue.",Mobile Network,Positive
"After recent update, I am highly impressed because usage statistics are inaccurate. thank you for solving the issue.",Mobile App Issues,Positive
